id,order,node_id
1,1,R0-01
2,2,E0-01
3,3,E0-02
4,4,E0-02-01
5,5,E1-01
6,6,E1-01-01
7,7,E1-01-02
8,8,E1-02
9,9,E1-03
10,10,E1-04
11,11,E1-05
12,12,E1-05-01
13,13,E1-05-02
14,14,E1-06
15,15,E1-07
16,16,E1-08
17,17,E1-08-01
18,18,E1-08-02
19,19,E2-01
20,20,E2-02
21,21,E2-03
22,22,E2-03-01
23,23,E2-03-02
24,24,E2-04
25,25,E2-05
26,26,E2-06
27,27,E2-06-01
28,28,E2-06-02
29,29,E2-08
30,30,E2-09
31,31,E2-10-01
32,32,E2-10-02
33,33,E2-11
34,34,E2-12
35,35,E2-12-01
36,36,E2-12-02
37,37,E3-01
38,38,E3-02
39,39,E3-03
40,40,E3-04
41,41,E3-04-01
42,42,E3-04-02
43,43,E3-05
44,44,E3-06-01
45,45,E3-06-02
46,46,E3-07
47,47,E3-08
48,48,E3-09
49,49,E3-09-01
50,50,E3-09-02
51,51,E3-10
52,52,E4-01
53,53,E4-02
54,54,E4-03
55,55,E4-03-01
56,56,E4-03-02
57,57,E4-04
58,58,E4-06
59,59,E4-07
60,60,E4-07-01
61,61,E4-07-02
62,62,E4-08
63,63,E4-09
64,64,EF-01
65,65,EF-02
66,66,EF-02-01
67,67,EF-02-02
68,68,EF-03
69,69,EF-07
